City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Elat,IL,2021-05-29 19:17:29,29.5581,34.9482,89.44,17,0,13.8
281,Hasaki,JP,2021-05-29 19:17:29,35.7333,140.8333,66.6,82,100,1.1
282,Te Anau,NZ,2021-05-29 19:17:29,-45.4167,167.7167,45.97,96,100,7.07
283,Bonavista,CA,2021-05-29 19:16:44,48.6499,-53.1147,57.2,75,6,13.94
284,Allapalli,IN,2021-05-29 19:17:30,19.4167,80.0667,91.29,35,71,1.57
285,Port Said,EG,2021-05-29 19:17:30,31.2565,32.2841,75.18,78,0,11.5
286,Ballina,AU,2021-05-29 19:15:25,-28.8667,153.5667,51.94,78,100,14.47
287,Colares,PT,2021-05-29 19:17:30,38.7992,-9.4469,66.79,71,20,14.0
288,Tocopilla,CL,2021-05-29 19:17:31,-22.092,-70.1979,69.53,66,15,7.94
289,Vuktyl,RU,2021-05-29 19:17:31,63.8567,57.3094,46.78,74,100,6.17
290,Acapulco,MX,2021-05-29 19:13:36,16.8634,-99.8901,91.22,58,75,8.63
291,Tromso,NO,2021-05-29 19:17:31,69.6496,18.957,47.05,87,75,1.01
292,Nador,MA,2021-05-29 19:17:32,35.174,-2.9287,68.07,82,0,5.39
