City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
577,Shenyang,CN,41.7922,123.4328,66.22,77,100,8.79,light rain
578,Kingaroy,AU,-26.5333,151.8333,48.7,94,66,2.84,broken clouds
579,Brandfort,ZA,-28.7001,26.4597,56.82,25,92,8.7,overcast clouds
580,Port Augusta,AU,-32.5,137.7667,52.7,35,100,4.61,overcast clouds
581,Nsanje,MW,-16.92,35.262,80.73,34,6,5.79,clear sky
582,Lazarev,RU,52.225,141.5131,36.41,84,14,11.21,few clouds
583,Kirkwall,GB,58.9848,-2.9587,55.74,82,20,14.97,fog
584,Bilibino,RU,68.0546,166.4372,47.07,58,18,2.04,few clouds
585,Lake City,US,30.1897,-82.6393,80.94,42,0,8.3,clear sky
586,Moroni,KM,-11.7022,43.2551,78.89,78,13,5.55,light rain
587,Kuala Lipis,MY,4.1842,102.0468,75.99,93,87,1.43,overcast clouds
588,Lavrentiya,RU,65.5833,-171.0,28.94,87,22,8.93,few clouds
589,Aksarka,RU,66.5606,67.7975,48.06,44,14,14.38,few clouds
590,Lunsar,SL,8.6833,-12.5333,81.09,77,100,3.91,overcast clouds
591,Atambua,ID,-9.1061,124.8925,72.88,87,65,2.53,broken clouds
592,Shingu,JP,33.7333,135.9833,63.91,91,41,4.59,scattered clouds
593,Muscat,OM,23.6139,58.5922,96.94,35,3,3.96,clear sky
594,Banda Aceh,ID,5.5577,95.3222,80.29,82,97,13.02,light rain
595,Goderich,CA,43.7501,-81.7165,69.03,69,54,7.47,broken clouds
596,Sevierville,US,35.8681,-83.5618,70.0,67,1,4.61,clear sky
597,Petropavlivka,UA,48.4564,36.4367,62.31,82,100,12.35,overcast clouds
598,Nantucket,US,41.2835,-70.0995,57.31,99,90,6.91,fog
599,Pandan,PH,14.0453,124.1694,81.32,86,87,6.24,overcast clouds
600,Silver City,US,32.7701,-108.2803,71.67,18,1,8.01,clear sky
601,Mayo,US,38.8876,-76.5119,69.15,62,10,4.0,clear sky
602,Katangli,RU,51.7102,143.2326,32.97,92,28,5.37,scattered clouds
603,Hovd,MN,48.0056,91.6419,53.4,35,0,7.18,clear sky
604,Ipameri,BR,-17.7219,-48.1597,84.09,36,93,6.02,overcast clouds
